id,percent_dem,total_votes,0001E,0002E,0002PE,0003E,0003PE,0005E,0005PE,0006E,0006PE,0007E,0007PE,0008E,0008PE,0009E,0009PE,0010E,0010PE,0011E,0011PE,0012E,0012PE,0013E,0013PE,0014E,0014PE,0015E,0015PE,0016E,0016PE,0017E,0017PE,0018E,0019E,0019PE,0020E,0020PE,0021E,0021PE,0022E,0022PE,0023E,0023PE,0024E,0024PE,0025E,0025PE,0026E,0026PE,0027E,0027PE,0029E,0029PE,0030E,0030PE,0031E,0031PE,0033E,0033PE,0034E,0034PE,0035E,0035PE,0036E,0036PE,0037E,0037PE,0038E,0038PE,0039E,0039PE,0040E,0040PE,0041E,0041PE,0042E,0042PE,0043E,0043PE,0044E,0044PE,0045E,0045PE,0046E,0046PE,0047E,0047PE,0048E,0048PE,0049E,0049PE,0050E,0050PE,0051E,0051PE,0052E,0052PE,0053E,0053PE,0054E,0054PE,0055E,0055PE,0056E,0056PE,0057E,0057PE,0058E,0058PE,0059E,0059PE,0060E,0060PE,0061E,0061PE,0062E,0062PE,0064E,0064PE,0065E,0065PE,0066E,0066PE,0067E,0067PE,0068E,0068PE,0069E,0069PE,0071E,0071PE,0072E,0072PE,0073E,0073PE,0074E,0074PE,0075E,0075PE,0076E,0076PE,0077E,0077PE,0078E,0078PE,0079E,0079PE,0080E,0080PE,0081E,0081PE,0082E,0082PE,0083E,0083PE,0084E,0084PE,0085E,0085PE,0086E,0087E,0088E,0088PE,0089E,0089PE,C01_001E,C01_002E,C01_003E,C01_004E,C01_005E,C01_006E,C01_007E,C01_008E,C01_009E,C01_010E,C01_011E,C01_012E,C01_013E,C01_014E,C01_015E,C01_016E,C01_017E,C01_018E,C01_019E,C01_020E,C01_021E,C01_022E,C01_023E,C01_024E,C01_025E,C01_026E,C01_027E,C02_002E,C02_003E,C02_004E,C02_005E,C02_007E,C02_008E,C02_009E,C02_010E,C02_011E,C02_012E,C02_013E,C02_014E,C02_015E,C02_017E,C02_018E,C02_020E,C02_021E,C02_023E,C02_024E,C02_026E,C02_027E
464,0.3266017,8616,23620,11352,48.1,12268,51.9,1449,6.1,1368,5.8,1263,5.3,2038,8.6,2897,12.3,2597,11,2529,10.7,2515,10.6,1483,6.3,1396,5.9,2209,9.4,1176,5,700,3,35.5,4893,20.7,19318,81.8,18727,79.3,16638,70.4,4844,20.5,4085,17.3,18727,18727,8773,46.8,9954,53.2,4085,4085,1747,42.8,2338,57.2,23620,23620,23414,99.1,206,0.9,23414,99.1,14412,61,8542,36.2,55,0.2,22,0.1,0,0,0,0,0,0,192,0.8,0,0,25,0.1,6,0,19,0.1,0,0,32,0.1,110,0.5,0,0,0,0,0,0,0,0,0,0,213,0.9,206,0.9,74,0.3,36,0.2,59,0.2,0,0,14596,61.8,8638,36.6,91,0.4,251,1.1,0,0,250,1.1,650,2.8,553,2.3,0,0,0,0,97,0.4,22970,97.2,14003,59.3,8542,36.2,35,0.1,192,0.8,0,0,14,0.1,184,0.8,15,0.1,169,0.7,11698,18457,8636,46.8,9821,53.2,4122,255,1190,2492,185,14605,618,1309,6091,2982,613,1894,1098,12678,2992,2597,2376,728,2529,2143,655,5394,4885,917,4085,3274,692,6.2,28.9,60.5,4.5,4.2,9,41.7,20.4,4.2,13,7.5,86.8,20.5,91.5,28,84.7,25.9,90.6,17,80.1,16.9
465,0.1878122,3003,5825,2986,51.3,2839,48.7,338,5.8,433,7.4,365,6.3,314,5.4,265,4.5,629,10.8,678,11.6,749,12.9,394,6.8,461,7.9,644,11.1,398,6.8,157,2.7,43,1383,23.7,4594,78.9,4442,76.3,4349,74.7,1470,25.2,1199,20.6,4442,4442,2274,51.2,2168,48.8,1199,1199,571,47.6,628,52.4,5825,5825,5773,99.1,52,0.9,5773,99.1,5662,97.2,29,0.5,55,0.9,1,0,5,0.1,0,0,2,0,20,0.3,0,0,0,0,3,0.1,15,0.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1,52,0.9,9,0.2,26,0.4,4,0.1,0,0,5713,98.1,39,0.7,83,1.4,26,0.4,10,0.2,8,0.1,125,2.1,121,2.1,0,0,0,0,4,0.1,5700,97.9,5551,95.3,29,0.5,55,0.9,20,0.3,0,0,0,0,45,0.8,1,0,44,0.8,3163,4416,2253,51,2163,49,332,41,158,107,26,4110,143,253,1282,939,654,687,152,3714,839,629,607,211,678,665,243,1604,1452,254,1199,990,131,12.3,47.6,32.2,7.8,3.5,6.2,31.2,22.8,15.9,16.7,3.7,90.4,20.4,96.5,33.5,98.1,35.8,90.5,15.8,82.6,10.9
466,0.1437564,5878,13058,6407,49.1,6651,50.9,634,4.9,666,5.1,847,6.5,780,6,517,4,1260,9.6,1327,10.2,1742,13.3,1073,8.2,1085,8.3,1761,13.5,1024,7.8,342,2.6,48.2,2640,20.2,10751,82.3,10418,79.8,10099,77.3,3776,28.9,3127,23.9,10418,10418,5110,49,5308,51,3127,3127,1492,47.7,1635,52.3,13058,13058,12663,97,395,3,12663,97,12433,95.2,79,0.6,27,0.2,3,0,0,0,0,0,16,0.1,89,0.7,0,0,77,0.6,8,0.1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.3,395,3,79,0.6,158,1.2,7,0.1,0,0,12828,98.2,158,1.2,219,1.7,101,0.8,0,0,181,1.4,248,1.9,175,1.3,0,0,0,0,73,0.6,12810,98.1,12222,93.6,79,0.6,19,0.1,89,0.7,0,0,35,0.3,366,2.8,117,0.9,249,1.9,8117,10403,5095,49,5308,51,804,107,580,112,5,9614,493,1313,4167,2155,534,680,272,7808,952,1260,1057,95,1327,1142,124,3900,3195,482,3127,2414,251,13.3,72.1,13.9,0.6,5.1,13.7,43.3,22.4,5.6,7.1,2.8,81.2,9.9,83.9,7.5,86.1,9.3,81.9,12.4,77.2,8
467,0.5266386,10436,28511,16114,56.5,12397,43.5,1790,6.3,1911,6.7,1843,6.5,1660,5.8,1952,6.8,4760,16.7,4192,14.7,3516,12.3,1692,5.9,1483,5.2,2092,7.3,1171,4.1,449,1.6,35.8,6725,23.6,22546,79.1,21786,76.4,20914,73.4,4624,16.2,3712,13,21786,21786,12533,57.5,9253,42.5,3712,3712,1540,41.5,2172,58.5,28511,28511,28037,98.3,474,1.7,28037,98.3,10801,37.9,16407,57.5,126,0.4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,690,2.4,474,1.7,217,0.8,63,0.2,0,0,0,0,11149,39.1,16746,58.7,209,0.7,13,0,13,0,877,3.1,2143,7.5,924,3.2,404,1.4,21,0.1,794,2.8,26368,92.5,9782,34.3,16183,56.8,126,0.4,13,0,0,0,0,0,264,0.9,79,0.3,185,0.6,10128,20831,11674,56,9157,44,2431,602,915,742,172,19355,1446,3184,7247,4040,1155,1574,709,14725,2283,4760,3767,370,4192,3339,393,6691,5048,890,3712,2571,630,24.8,37.6,30.5,7.1,7.5,16.5,37.4,20.9,6,8.1,3.7,76.1,11.8,79.1,7.8,79.7,9.4,75.4,13.3,69.3,17
468,0.2659809,10888,20503,10155,49.5,10348,50.5,1080,5.3,1330,6.5,1378,6.7,1528,7.5,1003,4.9,2298,11.2,2493,12.2,2710,13.2,1381,6.7,1676,8.2,2016,9.8,1148,5.6,462,2.3,40.6,4823,23.5,16414,80.1,15680,76.5,14945,72.9,4597,22.4,3626,17.7,15680,15680,7685,49,7995,51,3626,3626,1727,47.6,1899,52.4,20503,20503,20095,98,408,2,20095,98,19581,95.5,293,1.4,74,0.4,56,0.3,0,0,0,0,0,0,112,0.5,73,0.4,3,0,0,0,0,0,0,0,36,0.2,0,0,15,0.1,0,0,0,0,7,0,8,0,20,0.1,408,2,142,0.7,189,0.9,39,0.2,0,0,19987,97.5,442,2.2,272,1.3,151,0.7,17,0.1,49,0.2,467,2.3,370,1.8,12,0.1,29,0.1,56,0.3,20036,97.7,19165,93.5,293,1.4,62,0.3,112,0.5,15,0.1,5,0,384,1.9,14,0.1,370,1.8,9040,15593,7643,49,7950,51,1496,288,713,422,73,14184,174,853,6149,2728,1165,2152,963,13157,3115,2298,2161,588,2493,2332,588,5767,5452,1261,3626,3212,678,19.3,47.7,28.2,4.9,1.2,6,43.4,19.2,8.2,15.2,6.8,92.8,22,94,25.6,93.5,23.6,94.5,21.9,88.6,18.7
469,0.1093598,4124,8281,4263,51.5,4018,48.5,475,5.7,459,5.5,507,6.1,562,6.8,252,3,811,9.8,820,9.9,950,11.5,762,9.2,644,7.8,1162,14,692,8.4,185,2.2,47,1796,21.7,6705,81,6485,78.3,6265,75.7,2432,29.4,2039,24.6,6485,6485,3297,50.8,3188,49.2,2039,2039,980,48.1,1059,51.9,8281,8281,7774,93.9,507,6.1,7774,93.9,7062,85.3,168,2,102,1.2,0,0,0,0,44,0.5,0,0,19,0.2,0,0,0,0,19,0.2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,420,5.1,507,6.1,193,2.3,34,0.4,30,0.4,0,0,7569,91.4,361,4.4,136,1.6,49,0.6,3,0,670,8.1,1466,17.7,1376,16.6,15,0.2,0,0,75,0.9,6815,82.3,6345,76.6,168,2,64,0.8,19,0.2,0,0,0,0,219,2.6,0,0,219,2.6,5547,6169,3096,50.2,3073,49.8,459,102,172,107,78,6026,376,439,2176,1639,380,707,309,5211,1016,811,747,40,820,764,105,2356,1973,444,2039,1727,427,22.2,37.5,23.3,17,6.2,7.3,36.1,27.2,6.3,11.7,5.1,86.5,16.9,92.1,4.9,93.2,12.8,83.7,18.8,84.7,20.9
470,0.3005057,42911,76614,38090,49.7,38524,50.3,4392,5.7,4623,6,5649,7.4,4906,6.4,4064,5.3,9157,12,9938,13,11010,14.4,6358,8.3,3792,4.9,7508,9.8,4097,5.3,1120,1.5,40.1,17899,23.4,60926,79.5,58715,76.6,56132,73.3,14898,19.4,12725,16.6,58715,58715,28817,49.1,29898,50.9,12725,12725,5947,46.7,6778,53.3,76614,76614,74940,97.8,1674,2.2,74940,97.8,71690,93.6,2088,2.7,0,0,0,0,0,0,0,0,0,0,701,0.9,232,0.3,113,0.1,52,0.1,48,0.1,90,0.1,9,0,157,0.2,0,0,0,0,0,0,0,0,0,0,461,0.6,1674,2.2,545,0.7,473,0.6,198,0.3,0,0,73230,95.6,2744,3.6,488,0.6,1033,1.3,0,0,847,1.1,1931,2.5,1532,2,241,0.3,1,0,157,0.2,74683,97.5,70403,91.9,2088,2.7,0,0,701,0.9,0,0,66,0.1,1425,1.9,102,0.1,1323,1.7,30640,58008,28525,49.2,29483,50.8,5735,1173,2199,1975,388,52980,790,2904,16475,11119,4847,11198,5647,49286,16845,9157,8972,3355,9938,9464,4150,21160,19626,6635,12725,11224,2705,20.5,38.3,34.4,6.8,1.5,5.5,31.1,21,9.1,21.1,10.7,93,31.8,98,36.6,95.2,41.8,92.8,31.4,88.2,21.3
471,0.3983059,9799,17845,8959,50.2,8886,49.8,903,5.1,923,5.2,942,5.3,996,5.6,862,4.8,2019,11.3,1903,10.7,2526,14.2,1471,8.2,1511,8.5,2291,12.8,944,5.3,554,3.1,46.8,3406,19.1,14817,83,14439,80.9,13880,77.8,4670,26.2,3789,21.2,14439,14439,7199,49.9,7240,50.1,3789,3789,1789,47.2,2000,52.8,17845,17845,17555,98.4,290,1.6,17555,98.4,17204,96.4,140,0.8,24,0.1,0,0,0,0,0,0,0,0,131,0.7,13,0.1,92,0.5,15,0.1,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,56,0.3,290,1.6,108,0.6,96,0.5,23,0.1,30,0.2,17464,97.9,287,1.6,154,0.9,162,0.9,0,0,79,0.4,331,1.9,31,0.2,215,1.2,2,0,83,0.5,17514,98.1,16912,94.8,129,0.7,24,0.1,131,0.7,0,0,35,0.2,283,1.6,16,0.1,267,1.5,9852,14329,7171,50,7158,50,1220,113,596,445,66,13219,331,851,4579,2899,1497,1684,1378,12037,3062,2019,1794,371,1903,1735,526,5508,5160,1306,3789,3348,859,9.3,48.9,36.5,5.4,2.5,6.4,34.6,21.9,11.3,12.7,10.4,91.1,23.2,88.9,18.4,91.2,27.6,93.7,23.7,88.4,22.7
472,0.3569477,36235,83280,41742,50.1,41538,49.9,5463,6.6,5777,6.9,5390,6.5,4908,5.9,5033,6,11809,14.2,10778,12.9,10432,12.5,5406,6.5,4888,5.9,7652,9.2,4065,4.9,1679,2,38,19937,23.9,65773,79,63343,76.1,60730,72.9,16476,19.8,13396,16.1,63343,63343,31566,49.8,31777,50.2,13396,13396,5834,43.6,7562,56.4,83280,83280,80402,96.5,2878,3.5,80402,96.5,69641,83.6,1538,1.8,104,0.1,29,0,0,0,0,0,0,0,6579,7.9,3855,4.6,1229,1.5,116,0.1,493,0.6,182,0.2,217,0.3,487,0.6,0,0,0,0,0,0,0,0,0,0,2540,3,2878,3.5,1080,1.3,575,0.7,162,0.2,16,0,72291,86.8,2672,3.2,715,0.9,7076,8.5,170,0.2,3543,4.3,6018,7.2,3736,4.5,989,1.2,41,0,1252,1.5,77262,92.8,67114,80.6,1259,1.5,103,0.1,6579,7.9,0,0,379,0.5,1828,2.2,215,0.3,1613,1.9,34480,57040,27853,48.8,29187,51.2,6634,1127,2626,1692,1189,56709,1922,3724,17621,9281,4909,11004,8248,51063,19252,11809,10459,4779,10778,10044,4432,20726,18615,6744,13396,11945,3297,17,39.6,25.5,17.9,3.4,6.6,31.1,16.4,8.7,19.4,14.5,90,33.9,88.6,40.5,93.2,41.1,89.8,32.5,89.2,24.6
474,0.520471,361048,652617,321828,49.3,330789,50.7,43561,6.7,44553,6.8,43136,6.6,43229,6.6,44749,6.9,103253,15.8,82184,12.6,78366,12,41506,6.4,39004,6,52276,8,24442,3.7,12358,1.9,35.4,157738,24.2,511938,78.4,494879,75.8,469971,72,111496,17.1,89076,13.6,494879,494879,240997,48.7,253882,51.3,89076,89076,39357,44.2,49719,55.8,652617,652617,616489,94.5,36128,5.5,616489,94.5,510479,78.2,61191,9.4,2364,0.4,118,0,493,0.1,0,0,1,0,20064,3.1,3565,0.5,2411,0.4,1179,0.2,701,0.1,2416,0.4,5021,0.8,4771,0.7,222,0,46,0,40,0,44,0,92,0,22169,3.4,36128,5.5,13993,2.1,3902,0.6,3996,0.6,1140,0.2,543548,83.3,80147,12.3,9573,1.5,25526,3.9,651,0.1,32475,5,70152,10.7,45274,6.9,7687,1.2,1995,0.3,15196,2.3,582465,89.3,475874,72.9,58468,9,1396,0.2,19955,3.1,152,0,2366,0.4,24254,3.7,1492,0.2,22762,3.5,257115,466604,225917,48.4,240687,51.6,61490,8427,18072,25699,9292,433389,15793,21458,104971,91396,40103,103846,55822,396138,159668,103253,95883,43979,82184,75216,33854,158876,145693,55651,89076,79346,26184,13.7,29.4,41.8,15.1,3.6,5,24.2,21.1,9.3,24,12.9,91.4,36.8,92.9,42.6,91.5,41.2,91.7,35,89.1,29.4
475,0.3300815,35570,76513,37354,48.8,39159,51.2,4181,5.5,4384,5.7,4704,6.1,4400,5.8,4090,5.3,9455,12.4,8704,11.4,10181,13.3,5450,7.1,5771,7.5,8769,11.5,4726,6.2,1698,2.2,43.1,16179,21.1,62065,81.1,60334,78.9,58192,76.1,18460,24.1,15193,19.9,60334,60334,29003,48.1,31331,51.9,15193,15193,6703,44.1,8490,55.9,76513,76513,73968,96.7,2545,3.3,73968,96.7,68913,90.1,2755,3.6,357,0.5,72,0.1,0,0,0,0,0,0,1146,1.5,354,0.5,287,0.4,41,0.1,12,0,274,0.4,38,0,140,0.2,74,0.1,49,0.1,0,0,25,0,0,0,723,0.9,2545,3.3,938,1.2,358,0.5,124,0.2,0,0,71306,93.2,3795,5,941,1.2,1362,1.8,259,0.3,1594,2.1,2345,3.1,1560,2,58,0.1,190,0.2,537,0.7,74168,96.9,67828,88.6,2755,3.6,327,0.4,1146,1.5,74,0.1,229,0.3,1809,2.4,147,0.2,1662,2.2,35057,59004,28335,48,30669,52,5580,721,2536,1968,355,54754,2377,3860,18791,12710,4521,6848,5647,48517,12495,9455,8909,2220,8704,7988,2076,21402,18612,4539,15193,13008,3660,12.9,45.4,35.3,6.4,4.3,7,34.3,23.2,8.3,12.5,10.3,88.6,22.8,94.2,23.5,91.8,23.9,87,21.2,85.6,24.1
476,0.4178963,9488,19726,9050,45.9,10676,54.1,1161,5.9,1174,6,1301,6.6,1191,6,1079,5.5,2301,11.7,2486,12.6,2166,11,1435,7.3,1340,6.8,2445,12.4,1176,6,471,2.4,41.2,4401,22.3,15764,79.9,15325,77.7,14484,73.4,4878,24.7,4092,20.7,15325,15325,6756,44.1,8569,55.9,4092,4092,1629,39.8,2463,60.2,19726,19726,19403,98.4,323,1.6,19403,98.4,10183,51.6,8795,44.6,66,0.3,2,0,0,0,0,0,0,0,261,1.3,69,0.3,0,0,96,0.5,0,0,96,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0.5,323,1.6,134,0.7,57,0.3,34,0.2,5,0,10470,53.1,8934,45.3,159,0.8,295,1.5,0,0,191,1,290,1.5,259,1.3,0,0,0,0,31,0.2,19436,98.5,10125,51.3,8773,44.5,66,0.3,261,1.3,0,0,0,0,211,1.1,0,0,211,1.1,10119,15080,6635,44,8445,56,1505,297,710,446,52,13820,496,1390,6425,2334,970,1396,809,11934,2205,2301,2020,318,2486,2179,562,4941,4401,712,4092,3334,613,19.7,47.2,29.6,3.5,3.6,10.1,46.5,16.9,7,10.1,5.9,86.4,16,87.8,13.8,87.7,22.6,89.1,14.4,81.5,15
477,0.4220374,36665,86839,44089,50.8,42750,49.2,5650,6.5,5764,6.6,6708,7.7,6149,7.1,5504,6.3,10215,11.8,10628,12.2,11214,12.9,6303,7.3,5705,6.6,8768,10.1,3108,3.6,1123,1.3,38,22133,25.5,67074,77.2,64706,74.5,61099,70.4,16244,18.7,12999,15,64706,64706,32827,50.7,31879,49.3,12999,12999,6099,46.9,6900,53.1,86839,86839,80774,93,6065,7,80774,93,56754,65.4,6803,7.8,462,0.5,84,0.1,0,0,15,0,0,0,732,0.8,90,0.1,350,0.4,100,0.1,11,0,49,0.1,23,0,109,0.1,0,0,0,0,0,0,0,0,0,0,16023,18.5,6065,7,420,0.5,997,1.1,181,0.2,28,0,62143,71.6,7291,8.4,2092,2.4,1011,1.2,46,0.1,20401,23.5,33686,38.8,27623,31.8,716,0.8,353,0.4,4994,5.8,53153,61.2,44099,50.8,6196,7.1,179,0.2,723,0.8,0,0,296,0.3,1660,1.9,611,0.7,1049,1.2,30435,58355,29257,50.1,29098,49.9,7642,983,4131,2182,346,57064,4955,4661,17469,13771,3919,8326,3963,47448,12289,10215,8594,1937,10628,8660,2438,23222,19415,4963,12999,10779,2951,12.9,54.1,28.6,4.5,8.7,8.2,30.6,24.1,6.9,14.6,6.9,83.1,21.5,84.1,19,81.5,22.9,83.6,21.4,82.9,22.7
478,0.4321193,34266,70990,35009,49.3,35981,50.7,3405,4.8,3641,5.1,3988,5.6,6238,8.8,5657,8,7377,10.4,7370,10.4,9266,13.1,5529,7.8,5493,7.7,7645,10.8,3515,5,1866,2.6,42.3,13597,19.2,59045,83.2,57393,80.8,52164,73.5,16232,22.9,13026,18.3,57393,57393,28064,48.9,29329,51.1,13026,13026,6024,46.2,7002,53.8,70990,70990,69079,97.3,1911,2.7,69079,97.3,66361,93.5,1152,1.6,404,0.6,0,0,0,0,25,0,7,0,665,0.9,75,0.1,316,0.4,29,0,27,0,67,0.1,42,0.1,109,0.2,60,0.1,0,0,0,0,60,0.1,0,0,437,0.6,1911,2.7,455,0.6,221,0.3,275,0.4,0,0,68233,96.1,1739,2.4,636,0.9,1036,1.5,60,0.1,1294,1.8,1636,2.3,478,0.7,465,0.7,72,0.1,621,0.9,69354,97.7,65518,92.3,1110,1.6,400,0.6,665,0.9,60,0.1,54,0.1,1547,2.2,501,0.7,1046,1.5,32381,56539,27669,48.9,28870,51.1,9332,447,3047,5188,650,48061,1046,2499,16676,7963,7076,7122,5679,44516,12801,7377,6921,1902,7370,6908,2520,20288,18761,5172,13026,11926,3207,4.8,32.7,55.6,7,2.2,5.2,34.7,16.6,14.7,14.8,11.8,92.6,26.6,93.8,25.8,93.7,34.2,92.5,25.5,91.6,24.6
479,0.282014,13744,28617,14609,51.1,14008,48.9,2035,7.1,2167,7.6,1990,7,2041,7.1,1827,6.4,3834,13.4,3346,11.7,3276,11.4,2027,7.1,1657,5.8,2421,8.5,1571,5.5,425,1.5,36.2,7402,25.9,22004,76.9,21215,74.1,20132,70.3,5217,18.2,4417,15.4,21215,21215,10833,51.1,10382,48.9,4417,4417,1955,44.3,2462,55.7,28617,28617,26356,92.1,2261,7.9,26356,92.1,23892,83.5,883,3.1,116,0.4,2,0,9,0,23,0.1,0,0,138,0.5,76,0.3,31,0.1,0,0,8,0,0,0,23,0.1,0,0,69,0.2,0,0,15,0.1,48,0.2,6,0,1258,4.4,2261,7.9,203,0.7,309,1.1,165,0.6,1,0,26152,91.4,1106,3.9,426,1.5,303,1.1,120,0.4,2790,9.7,10329,36.1,7926,27.7,108,0.4,0,0,2295,8,18288,63.9,16606,58,883,3.1,58,0.2,138,0.5,69,0.2,0,0,534,1.9,32,0.1,502,1.8,11809,18850,9469,50.2,9381,49.8,2658,715,1052,783,108,18557,2036,1794,5761,4024,1739,2274,929,14727,3203,3834,2810,497,3346,2832,913,6960,5429,1041,4417,3656,752,26.9,39.6,29.5,4.1,11,9.7,31,21.7,9.4,12.3,5,79.4,17.3,73.3,13,84.6,27.3,78,15,82.8,17
480,0.2987292,5587,12357,5980,48.4,6377,51.6,678,5.5,750,6.1,951,7.7,725,5.9,712,5.8,1152,9.3,1530,12.4,1415,11.5,819,6.6,966,7.8,1462,11.8,871,7,326,2.6,43.2,2853,23.1,9836,79.6,9504,76.9,9120,73.8,3308,26.8,2659,21.5,9504,9504,4466,47,5038,53,2659,2659,1229,46.2,1430,53.8,12357,12357,12108,98,249,2,12108,98,8672,70.2,2905,23.5,25,0.2,3,0,0,0,0,0,0,0,15,0.1,4,0,0,0,11,0.1,0,0,0,0,0,0,0,0,7,0.1,0,0,0,0,7,0.1,0,0,484,3.9,249,2,82,0.7,134,1.1,0,0,0,0,8890,71.9,3018,24.4,159,1.3,46,0.4,7,0.1,486,3.9,1259,10.2,1171,9.5,4,0,0,0,84,0.7,11098,89.8,7917,64.1,2898,23.5,25,0.2,15,0.1,7,0.1,0,0,236,1.9,0,0,236,1.9,6046,9207,4369,47.5,4838,52.5,963,137,358,461,7,8541,377,387,3685,2259,627,870,336,7777,1206,1152,1091,127,1530,1422,222,3200,2880,516,2659,2384,341,14.2,37.2,47.9,0.7,4.4,4.5,43.1,26.4,7.3,10.2,3.9,91.1,14.1,94.7,11,92.9,14.5,90,16.1,89.7,12.8
481,0.2666813,9142,17217,8753,50.8,8464,49.2,989,5.7,1204,7,1080,6.3,1599,9.3,1461,8.5,1728,10,1945,11.3,2015,11.7,1047,6.1,1178,6.8,1634,9.5,892,5.2,445,2.6,37.8,4008,23.3,13683,79.5,13209,76.7,11769,68.4,3658,21.2,2971,17.3,13209,13209,6702,50.7,6507,49.3,2971,2971,1362,45.8,1609,54.2,17217,17217,16833,97.8,384,2.2,16833,97.8,16546,96.1,112,0.7,19,0.1,0,0,0,0,0,0,5,0,75,0.4,2,0,26,0.2,3,0,2,0,28,0.2,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,81,0.5,384,2.2,105,0.6,108,0.6,32,0.2,1,0,16915,98.2,239,1.4,157,0.9,132,0.8,43,0.2,167,1,469,2.7,340,2,103,0.6,3,0,23,0.1,16748,97.3,16271,94.5,112,0.7,14,0.1,75,0.4,0,0,2,0,274,1.6,2,0,272,1.6,7231,13093,6625,50.6,6468,49.4,2325,151,492,1491,191,10884,215,358,3083,2271,1615,2355,987,10311,3342,1728,1690,607,1945,1919,732,4240,4075,1291,2971,2627,712,6.5,21.2,64.1,8.2,2,3.3,28.3,20.9,14.8,21.6,9.1,94.7,30.7,97.8,35.1,98.7,37.6,96.1,30.4,88.4,24
483,0.1153169,1136,1999,956,47.8,1043,52.2,197,9.9,148,7.4,170,8.5,103,5.2,34,1.7,210,10.5,253,12.7,227,11.4,151,7.6,151,7.6,193,9.7,113,5.7,49,2.5,41.1,607,30.4,1449,72.5,1392,69.6,1375,68.8,472,23.6,355,17.8,1392,1392,705,50.6,687,49.4,355,355,166,46.8,189,53.2,1999,1999,1830,91.5,169,8.5,1830,91.5,1797,89.9,3,0.2,0,0,0,0,0,0,0,0,0,0,21,1.1,0,0,0,0,19,1,0,0,2,0.1,0,0,0,0,6,0.3,4,0.2,2,0.1,0,0,0,0,3,0.2,169,8.5,14,0.7,40,2,0,0,0,0,1964,98.2,17,0.9,42,2.1,21,1.1,6,0.3,118,5.9,208,10.4,193,9.7,3,0.2,0,0,12,0.6,1791,89.6,1666,83.3,3,0.2,0,0,21,1.1,6,0.3,3,0.2,92,4.6,40,2,52,2.6,1012,1355,687,50.7,668,49.3,45,4,12,29,0,1347,17,54,376,416,168,271,45,1276,316,210,209,116,253,231,74,529,508,72,355,328,54,8.9,26.7,64.4,0,1.3,4,27.9,30.9,12.5,20.1,3.3,94.7,23.5,99.5,55.2,91.3,29.2,96,13.6,92.4,15.2
484,0.5814188,3961,7845,4378,55.8,3467,44.2,152,1.9,324,4.1,428,5.5,459,5.9,635,8.1,1485,18.9,1337,17,950,12.1,478,6.1,491,6.3,882,11.2,158,2,66,0.8,37.8,1267,16.2,6849,87.3,6578,83.8,6475,82.5,1390,17.7,1106,14.1,6578,6578,3677,55.9,2901,44.1,1106,1106,663,59.9,443,40.1,7845,7845,7115,90.7,730,9.3,7115,90.7,6353,81,5,0.1,253,3.2,0,0,0,0,110,1.4,47,0.6,43,0.5,20,0.3,12,0.2,0,0,11,0.1,0,0,0,0,0,0,4,0.1,4,0.1,0,0,0,0,0,0,457,5.8,730,9.3,54,0.7,36,0.5,104,1.3,0,0,7083,90.3,59,0.8,451,5.7,148,1.9,167,2.1,992,12.6,2044,26.1,1494,19,0,0,0,0,550,7,5801,73.9,5246,66.9,5,0.1,189,2.4,43,0.5,4,0.1,0,0,314,4,119,1.5,195,2.5,4528,5991,3268,54.5,2723,45.5,731,184,193,174,180,5847,409,252,1342,1018,467,1666,693,5186,2359,1485,1347,790,1337,1259,315,1919,1572,871,1106,1008,383,25.2,26.4,23.8,24.6,7,4.3,23,17.4,8,28.5,11.9,88.7,40.3,90.7,53.2,94.2,23.6,81.9,45.4,91.1,34.6
